,Time,Imports,Country,Tourist,Year
24,2017-12-08,3506575,BEL,2572,2017
25,2017-11-08,7196793,BEL,3593,2017
26,2017-10-08,12156662,BEL,21476,2017
27,2017-09-08,6090627,BEL,35885,2017
28,2017-08-08,10046089,BEL,44101,2017
29,2017-07-08,8027629,BEL,53970,2017
30,2017-06-08,12068089,BEL,21313,2017
31,2017-05-08,7679819,BEL,24696,2017
32,2017-04-08,5733375,BEL,22809,2017
33,2017-03-08,5265781,BEL,4448,2017
34,2017-02-08,3385261,BEL,2555,2017
35,2017-01-08,6945916,BEL,2282,2017
36,2016-12-08,3055847,BEL,1077,2016
37,2016-11-08,7741229,BEL,2437,2016
38,2016-10-08,3113715,BEL,18938,2016
39,2016-09-08,4108370,BEL,31604,2016
40,2016-08-08,4819820,BEL,37377,2016
41,2016-07-08,4896912,BEL,58759,2016
42,2016-06-08,4198451,BEL,20543,2016
43,2016-05-08,4019541,BEL,24685,2016
44,2016-04-08,5059611,BEL,12917,2016
45,2016-03-08,4424677,BEL,10956,2016
46,2016-02-08,2835485,BEL,4619,2016
47,2016-01-08,3512164,BEL,2848,2016
48,2015-12-08,6850062,BEL,1755,2015
49,2015-11-08,3418484,BEL,4341,2015
50,2015-10-08,4534669,BEL,12327,2015
51,2015-09-08,4449793,BEL,25937,2015
52,2015-08-08,6064172,BEL,44048,2015
53,2015-07-08,5700152,BEL,54774,2015
54,2015-06-08,4505446,BEL,24148,2015
55,2015-05-08,3069181,BEL,21292,2015
56,2015-04-08,3510629,BEL,18268,2015
57,2015-03-08,2434585,BEL,3868,2015
58,2015-02-08,1695305,BEL,2967,2015
59,2015-01-08,1578550,BEL,2448,2015
60,2014-12-08,1694488,BEL,2765,2014
61,2014-11-08,2625734,BEL,2820,2014
62,2014-10-08,3895873,BEL,10476,2014
63,2014-09-08,2308895,BEL,22480,2014
64,2014-08-08,2673904,BEL,39268,2014
65,2014-07-08,10127605,BEL,43511,2014
66,2014-06-08,2795981,BEL,23700,2014
67,2014-05-08,3631292,BEL,19345,2014
68,2014-04-08,2640524,BEL,16376,2014
69,2014-03-08,2967593,BEL,3382,2014
70,2014-02-08,3231487,BEL,1586,2014
71,2014-01-08,1414594,BEL,696,2014
72,2013-12-08,1353142,BEL,815,2013
